sample_id,group_id
e084ae705bfc4281a5e60155dc34c92c,ba3fd5fb8f15efe7519c794f2f0eeb7412b386611586c6d689fbc077c9e08f75
a499358f7cff43cebea40eb1b6098a04,dfd6cbeb755a139c76351df4e7c03bb4d4194817ddc8057ae1968e8098c3249c
7d4b8618c0bc4bf2aa2cfb42683b0663,a44e4c1c54fdf67210893f4521214a47eb91469a4bc0b00e40137a1a070292c7
c6fa4b40bf4b4e678c697c8411cb2592,15147a85ad7c488fe694bd458d0c3294dd9582d46c4325033f5edf50c7102aed
fe0c2371649b4f3c99fd5bbed9d20cd7,3be0a05059b02933f7a712c51b1f3116b4c768824093289ac6f877b443fc652b
6c6169dbc051483287e9f3d6d35e6fe4,dbef01583b9339459582b53639af1a5274fb9a35a1553d8b34caf2910bb3f708
76497307a864449092d9b48aa95bad8a,e3d5633311f5944f3f20dc8ea1bc156e366c1284ec149ccaec90347b3c4bae76
c5940fe3da1344dc8967a88a39a52d9b,4099703160e47fb414793daac25f0948e011e7118e97d8decd8379c7f1bd679e
2d6324eb0e36460f99ff5ad2669b7b36,e66f7991d3a45c54e0952853464d1ac8d0a41633971f5e9f4ea04276e886bcf5
1eac46d0d64c49d18e238145ef1742db,e3ab255a9393ea8913e612a7ac68f9c4097b0d6238709924429a0557eb4d1e94
8c1a770ebc1a4e768148de07cc26d624,fb973ae0ec48227662bb4ff7d33329d4f844b7859ad405e4932d416da638d7cf
44cd5ca5caa641b1a4751ef796d2b5ab,01b53d841cfd01c3517425a8ed2796c746731eeacfede013552b79a73db944ea
0b57b44b7178494284ebed7d412cac12,65d959afbf79d61c6673f6272d9a5cd23c9d7119812b74ef8688cde785bc9487
bac7407b38f3444f95babae13e2cb2b2,ef94ce14195f0ee89b5fbccb927344f3846f012c5e00b8a8b82896a08b050f7c
9590a4b4b04a4283aa26a5400fd12a8f,35827cb5e19c27795a66288d67296122d0d5087264b8d8d379af2aedeee9a60f
bdcd0033f69e443f84938228e57f3644,33fda253476178a07efeec14284c7533e2088e818b59a8ab9e61a3cde321cabb
a4fb64e849134ec8b3b7fe2839a43eb8,cd5386f267eba7c1ad81fc76c660f2e455ae554b52a1087ec59e2f433950899b
8ddffd93d68c46889c0b550731e16a4e,4518213a2dc98799c6d1dc32fda09eb61689248ceefa458beda04f7d9cd85b9b
905ccf3d281c47c8b98e29e1937def9e,1566a4c7d3206249a36043c1b52dcf622f4dd19dd68ce6dc2bb6e4c7e0173ecd
001e034f50924f959c34fc020a76122e,d8f584f5764848d65eda2a0afcfd0e115a42a51f54dee2e259faab8388e161df
6d9bdf0f92d0400289fd280b6edd5d43,7433ddb3fb5e85e202f97c952c1e71fa5619d9a34b015b3ea47f492aff8b62ed
6d1cc882ebf74f67b2e724d6bbf199fa,b4533c12305bc60ea6d489680ba19e3f4be0f00d98a936c65e4500a2b9c2fcf1
a1ba10a658ce466ca98e1d05940864fb,27a2c65c1c38d6ccdb72b5a277808cc4f6ed1cc750cf292359bb758d5330cfd6
f9cd72fff2e142758efb43894580f798,7c2e311530d655d9f1316c8ec74b0f9448f33d1205584b092a7344901ebbffdf
177767aba86740dd84ed35930e51b6fc,eef7e7003fd7c18f3f596a3889f21676708886f772739a9e8af9f8810e5f1875
547c1a8c9436474b8a8cdace5fed170f,18fd31f0332e8260243a78390486603d5cbe36fde74118140381970a12b5356b
ae6f87aa464449d7850725df752b65ce,c518450283013ee6ef1538fd66879735684b1bafce69c3c1d095e3e471b5e802
f8511ce299e44498867a45c51304963c,65cf4334c1a41fe59b7a963eb6da5820d8daab23694945d2288d21e508370f5f
d26dbaaf92fb4d209f0f45195b16ddbc,e1435906d9bd54484854a14615a9401b94a78ba81bb3d91991e4c3f6019609af
a5f278cd6514410993d748cc91dd56a0,6b313039f550d8c4a43c6ce7d23b5ecc868cbb41ee90d6ad07b31216ba761dbf
198f4d4c01224a2a8a8ea97eab0d1b90,8ad972093b6074bc03bacbe398c13ed6626cf7b1436e2525608502d27e9357d3
baadbe0de6eb4be9a55ce27d6fd9a2f1,e2f8ca609b28e133f3f3277ce5763c5d33cce1bbaaceec9de76f578c4a191e01
ad8948de1f9e49f5b6838e9b46cf7243,5c9d6816eebd3f866c66d737e8193d0686fbac0dbb53a5da9eb6e2d6dfa3bd5a
c9a021a35fa84ca2b495b87401f1bf2d,41a1364072cc095af3971624d339ac0d4f38c9a7498ff7e4fd5ac0e37f2bfd9a
05ff876952de4c8d906edc33833e1c22,ed82b076ca30de75986657f503134690189e2e88b897974d46f1666ae6628038
616224e1769e44ee85c2e9e12431df77,4fc12990712037c354f830d033da652ad56f316cf0533ba750c68bd8d437a5f1
2a47b367354942898529fd26215beb5a,472025203bfa0302e9f75027b4ef42cec44eb2bc0d0cd39813bbab460fc229e9
432f3e09cd014046bd6c97b6b34df1a1,898bfb5d9aac1b57944042561ac453349846b2bb6a62150651a5021959ddd37c
761f8dadf105463c9b492a12662a6edb,6fb3fde78dce539932952162741838f64d2f7a646fc2d4914288ef176417e81c
cbe1bad89f7e40d2b863be495652b8b9,2191b59950e0a507067a5d1e0e2f93be1c3474837f94b4015c127aa61bc6d6dc
f4b9c6e7e5b24060a6aee80a55e8fa21,f00d8cdcd18c485d6965464140d4a4a4292e4c708b5f088256ebd97a20bfe0c9
0d47e09ede864991a71eafa51b83503c,d665f0db8cde6a40cdb538e7fa1c49beb616e5010dc93b5c1b46c41f78776a52
e5a585ba353d4a8486728e79699d24f3,4dce29bcb4d8e4882c37163b063d790a41007385c77a533c68509790d417e72b
7cd41d6ab87341fcb052f5c2111bb507,a45577dbcd494610d2a9365e74ded541ae048113cde3c33dd9c3aaa0a2fcdef6
8dab0f9302bb461cb7a18baafa6de44a,b49cb338cec3b01c94b58f3fdd14898578dd2f775c2d8cbfdacc011c5c8f1831
500f3d0327f147d7abe461ff1f37d2fe,dafe2f7781eeefdaf3c746ba2749f43aa6aa7b7e0f9a818d86f5bab03a6e572b
b0a07bd375ce40008c61639798b5ab69,05f12cfb36fb3f83b019909242effaaace890970cae24b3a7149440b8aa366fa
945f848747fe432296def8f1787637b3,e97f52b089d3593b61d51932166cbe023373ce67ce38565969db5628afe7ff5b
12082e7779a6497b9a6e68105c83c8ef,5c4ccfb1fc36028b6f4e5a50da4f495f06b49740b369876ea9671231042f8515
ea1b2df6c8db41fcb2b56aedba9ba176,2947705da864143e53bae6184df618b01559e1df2bb7e719adce3afb3065472f
6385b3c923214a338e0f4425110a1b37,9399d9cd73bfada919b292232b350d693fa74ef5cecb21f7ec09a04e1aa3afe2
fd4f50635c304b26b5f1f43e8ab6bf87,ab1c3a6aaa926b660bfd22076c44db3418e9e00fa920b48952d88b0dc207732b
fcd5366cd38f45718cf23f282c9b083f,2757a0eb81f748fb0ab290ecefa02296750e5c8cac22a2aa44a779106d7fb8c4
305681cc0ceb4f33aa32e114694688b1,cd743ad6b19a9e85d18ede960153fa526c5ecee359d6e50d38e5444babfb9d42
a49e068ba68a436c835ed9e017d5a795,e0d0dd10e7ada2b6069a0a561003c1339c6e3d2f60e637566b7231d5210ef57f
31ca360d8f1348a1a20dd0bfdb9c283c,4e8543e3fe517d92856104c4a96dd5a1b2ab2c484f21731f0dc02ddc2709e07d
70c501ef0395453ab4d8853951790f56,1db5b1b7724518021c7ec05329b3cd7b84522b7b6b4c5f2958dffa3d2b35cf9e
ef5d0972b4384a14b9bd4867a7bbf7b4,d891cfa1ba23738b1d2ae919744ce91bef0781a306516c68d43390afffb195c9
11d1b009dc914d53981d80cf5aaf9df2,4b3bdd9ecc8f9fb48315c2ffe3026340505c0e2f70ea520772b03739cef4ef15
fcf4a675fc5241feb113248394fcc4a2,246f6d002e117473fcdeb7927e02d5f94aa0c3d506b94d8fb4f1049c25eb1ee5
1dc0913c2ee3403397b94e56f9c37184,5f808be1cfe3d30ace479343e8225c1db485212d146dbc073fc2a8ba3add06bf
9ebcd7a753944e69b720a2998b7f3828,1b40a87ed579d9b791f62357d27e7eeec87fbf42975ebf0e5ac212b0229ee4e0
f5555e119e6241d2a3d6b524d4724600,db9b161171bf8131a2cf211ca61a8adab1889238b943b230d0554b30d87f426e
67b2eeffc51b4d5c8216ce9bc00ac036,a2d81f0b481256ecebbf01413dfd2e979e5e1227b40102b0d708b4fa8c2a9234
251787c0365e4af49bca8736ea089b33,c68c1c3c4b5755af72ed88915438f59561d26d3ccc34d465213f1e80f57e2a4e
afe952161bcd44079f5ae1764e4b7237,054b0085f64bb89d5bf2bc7807d7acab9d91ef1c070fa01f40f284cb31b682ef
0957b32debe24991b4eda7f3b9e15323,9efda95db92505fdd18af6c6d62e9f4974a737fec4cb3b07877f84af52a1fb15
39ce91df621649b3820ea94026dc7870,8e10d9209e7aac542c0f56a33baed9be42ba6ccf3d533f86978554f2b32d808e
2e51d62055b7462090667588f71fc735,0839e9571345f83439bb562aba9c897a31ff56320bc933bf0c1be0587d32fe6d
7f682fd739e044248363a5a007a6f408,7248c52e3f2e91fadfc37d874050bcf117e29cd056fb62d0cf9d69c73460e5c8
e29af295c0de4941abfb8faa7aac7afb,a354848761f9dadd1b3a69bf88b766ee71f09a7ca61cc6f1908e63e853f775ca
e599b264d507485490feba77a89225f2,63d4a265c21996e03b680816abb3fe88cb1af8fb5cf87c483a6a6ad2f357045f
de2ee107c94e4238aac2a1325110cdd4,9058a3e10dcae93738e9d114d8b288ac893a6d56c0d86c0cc576eda9dcc99664
57b216786aba4856b66078bd1d5eb3ce,419de985f1cd86dc10a38d1397739eb0cc40eaf864fbafb074cac494c9a968d7
6e3f452277434f988337c8352a8fdee3,3cdfeecba39057721ba74f09999a49a71b67deebe06ea9061ca31e2191767bf7
cd41ba48089a4b65a4a2410df60ccd14,f0a171793ceeca103f8218a1a1fb0d9abbfbd82b068b17c88a188896b5fd7dbf
fa8e4ff9347c4e7e89352d47afedbab3,c3cd58923acc2e10f5eda405a8b7905d0d47587bfae5a6522b9cf5ddb79d3d0b
38d3a34ccae544599ae92839ef682bfc,5e3cb6937d9dfc75d4e163f4c46aac7780b06570a8945464eb67c41fc2f6242b
26a1d1ea903a48e1a646bc13f42c864f,08f1e088b523e6552125c7df5349a551fd6162595734675e41404ca7a5c71ca1
9cfc0adc131f46fba4bbacfa7feb6e41,6160fc906e67e26916f2be5d4a7fe4340d347dd7b39fb18bdce17996e4287db2
b694d647f240499bb5e5b7ae2ba81598,44fea110fd2b331c80036850cd93cb49376d3262a69a2bc87f0e117cadf4672e
